Crono$ActiveDirectoryGroups|Directorio Activo
Crono$ActiveDirectoryGroupsOf|Directorio Activo
Crono$ActiveDirectoryMyGroups|Directorio Activo
Crono$ActiveDirectoryUsers|Directorio Activo
Crono$AnsiColumns|Metadatos base de datos
Crono$AnsiForeignKeys|Metadatos base de datos
Crono$ColumnExtendedProperties|Metadatos base de datos
Crono$Columns|Metadatos base de datos
Crono$Constraints|Metadatos base de datos
Crono$ConstraintsColumns|Metadatos base de datos
Crono$DatabaseExtendedProperties|Metadatos base de datos
Crono$Databases|Metadatos base de datos
Crono$ForeignKeys|Metadatos base de datos
Crono$Functions|Metadatos Crono
Crono$IndexColumns|Metadatos base de datos
Crono$Indexes|Metadatos base de datos
Crono$ProcedureExtendedProperties|Metadatos base de datos
Crono$Procedures|Metadatos base de datos
Crono$Routines|Metadatos base de datos
Crono$Schemas|Metadatos base de datos
Crono$TableExtendedProperties|Metadatos base de datos
Crono$Tables|Metadatos base de datos
Crono$Parameters|Metadatos base de datos
Crono$CronoFunctions|Metadatos Crono
Crono$CronoViews|Metadatos Crono
Crono$Keywords|Metadatos Crono
Crono$SqlFunctions|Metadatos Crono
Crono$Countries|Miscelánea
Crono$TimeZones|Miscelánea
Crono$SpanishCities|Miscelánea
Crono$SpanishProvinces|Miscelánea
Crono$SpanishRegions|Miscelánea
Crono$Dates|Tiempo
Crono$Months|Tiempo
Crono$Weeks|Tiempo
